Dist classes,Max distance,Number of pairs,% partic,CV partic,Mean distance,Mean ln(distance),Mean_jackkniffed,SE,Site
1,23,94,58.3,1.77,14.9579,2.5067,0.0065,0.0072,TRC
2,35,132,63.9,1.72,29.7796,3.388,0.0099,0.0259,TRC
3,40,101,61.1,1.66,37.3999,3.621,0.0366,0.0195,TRC
4,50,152,77.8,1.39,44.6466,3.7966,0.0063,0.0165,TRC
5,60,170,70.1,1.39,55.2633,4.0108,-0.0153,0.0151,TRC
6,70,172,75.7,1.41,65.4736,4.1806,-0.0016,0.0078,TRC
7,80,237,87.5,1.25,74.9481,4.316,-0.0335,0.0118,TRC
8,90,198,76.4,1.24,85.1752,4.4441,-0.0256,0.0121,TRC
9,100,223,81.3,1.22,94.9355,4.5527,-0.002,0.0031,TRC
10,110,186,78.5,1.23,104.9017,4.6527,-0.0102,0.006,TRC
11,120,188,77.1,1.34,115.4319,4.7484,-0.0048,0.0138,TRC
12,140,312,93.8,1.29,129.6163,4.8636,-0.0034,0.009,TRC
13,160,260,76.4,1.43,149.8231,5.0088,0.0009,0.0072,TRC
14,180,156,56.3,1.75,169.2013,5.1305,-0.0345,0.0118,TRC
15,200,79,31.3,2.54,189.0158,5.2414,-0.0304,0.0281,TRC
16,234.4201,24,10.4,3.67,212.7699,5.3592,-0.0375,0.0571,TRC
1,23,87,50.7,1.82,15.6865,2.6919,-0.033,0.0139,RA
2,35,147,73.9,1.4,28.9199,3.3587,-0.0199,0.0101,RA
3,40,54,40.6,1.64,37.7265,3.6295,-0.0187,0.0199,RA
4,50,160,76.1,1.3,45.36,3.8124,-0.0027,0.011,RA
5,60,189,80.4,1.3,54.9182,4.0043,0.0034,0.0118,RA
6,70,190,84.1,1.42,65.3258,4.1783,0.0043,0.0115,RA
7,80,197,87,1.51,75.0603,4.3176,-0.0169,0.0072,RA
8,90,200,82.6,1.46,84.6299,4.4378,0.0082,0.0089,RA
9,100,156,73.2,1.54,94.8014,4.5513,-0.0132,0.0143,RA
10,110,132,73.9,1.4,104.7245,4.6509,-0.0033,0.0235,RA
11,120,131,67.4,1.36,114.7319,4.7423,-0.0123,0.0119,RA
12,140,253,81.2,1.37,129.5852,4.8634,-0.0047,0.0103,RA
13,160,386,93.5,1.22,150.0854,5.0105,-0.0107,0.0073,RA
14,180,272,76.8,1.58,168.2738,5.125,-0.0098,0.0066,RA
15,200,67,29.7,2.76,189.4242,5.2436,-0.0042,0.0164,RA
16,214.8062,24,13.8,3.62,205.3704,5.3246,-0.043,0.0294,RA
